combination,c1,c2,c3,ECL1,ECL2,ECL3,ECL4,ECL5,ECL6,ECL7,ECL8,ECL9,ECL10,ECL11,ECL12,ECL13
182,800,47,0.18,0,0,0,0,0.0006,0.0532,0,0.0472,0.135,0.0711,0.0797,0.1177,0
183,0,94,0.18,0,0,0,0,0,0,0,0.012,0.0732,0.0369,0.1519,0.4357,0.037
184,25,94,0.18,0,0,0,0,0,0,0,0.011,0.0708,0.0299,0.158,0.4392,0.0331
185,50,94,0.18,0,0,0,0,0,0,0,0.0105,0.0731,0.0337,0.1554,0.4323,0.0452
186,100,94,0.18,0,0,0,0,0,0,0,0.0221,0.0726,0.0295,0.16,0.3909,0.0478
187,200,94,0.18,0,0,0,0,0,0,0,0.0154,0.0742,0.0313,0.1471,0.2789,0.0257
188,400,94,0.18,0,0,0,0,0,0,0,0.0063,0.0816,0.0161,0.1186,0.2059,0
189,800,94,0.18,0,0,0,0,0,0,0,0.0242,0.044,0,0.0358,0.1093,0
190,0,188,0.18,0,0,0,0,0,0,0,0,0.0597,0,0.0334,0.4021,0.0468
191,25,188,0.18,0,0,0,0,0,0,0,0,0.0611,0,0.0343,0.4041,0.0375
192,50,188,0.18,0,0,0,0,0,0,0,0,0.0636,0,0.0376,0.4054,0.0455
193,100,188,0.18,0,0,0,0,0,0,0,0,0.0642,0,0.0401,0.3726,0.0326
194,200,188,0.18,0,0,0,0,0,0,0,0,0.0613,0,0.0329,0.2602,0.0207
195,400,188,0.18,0,0,0,0,0,0,0,0,0.0647,0,0.0073,0.2139,0
196,800,188,0.18,0,0,0,0,0,0,0,0.0011,0.0308,0,0,0.1116,0
197,0,376,0.18,0,0,0,0,0,0,0,0,0.0609,0,0,0.3879,0.0515
198,25,376,0.18,0,0,0,0,0,0,0,0,0.0635,0,0,0.3948,0.0474
199,50,376,0.18,0,0,0,0,0,0,0,0,0.0685,0,0.0003,0.3941,0.0455
200,100,376,0.18,0,0,0,0,0,0,0,0,0.0667,0,0.0018,0.358,0.0418
201,200,376,0.18,0,0,0,0,0,0,0,0,0.0653,0,0,0.2633,0.0328
202,400,376,0.18,0,0,0,0,0,0,0,0,0.0575,0,0,0.2158,0
203,800,376,0.18,0,0,0,0,0,0,0,0,0.0201,0,0,0.1214,0
204,0,752,0.18,0,0,0,0,0,0,0,0,0.0692,0,0.0014,0.3926,0.074
205,25,752,0.18,0,0,0,0,0,0,0,0,0.0692,0,0.001,0.3983,0.0712
206,50,752,0.18,0,0,0,0,0,0,0,0,0.0721,0,0.0027,0.3991,0.0717
207,100,752,0.18,0,0,0,0,0,0,0,0,0.0727,0,0.0033,0.3657,0.0688
208,200,752,0.18,0,0,0,0,0,0,0,1E-04,0.0618,0,0,0.2733,0.0506
209,400,752,0.18,0,0,0,0,0,0,0,0,0.056,0,0,0.2119,0.0197
210,800,752,0.18,0,0,0,0,0,0,0,0,0.0366,0,0,0.1179,0.0035
211,0,0,0.35,1,0.9999,1,1,1,1,0.991,0.9963,0.9888,0.9798,0.9961,0.9898,0.8401
212,25,0,0.35,1,0.9915,1,1,0.9929,1,0.9833,0.9677,0.976,0.9779,0.9871,0.964,0.7447
213,50,0,0.35,0.9777,0.9703,0.8841,0.9445,0.9943,1,0.9915,0.9868,0.983,0.9707,1,0.8788,0.7772
214,100,0,0.35,0.7459,0.767,0.649,0.7015,0.7139,0.8559,0.9993,0.7721,0.9916,0.946,0.9831,0.5367,0.9484
215,200,0,0.35,0.1182,0.3876,0.0733,0.1002,0.2278,0.3805,0.9907,0.3877,0.9737,0.8423,0.9738,0.0766,0.6837
216,400,0,0.35,0.0296,0.0767,0,0,0.1331,0.4742,0.4583,0.1042,0.8747,0.6819,0.7551,0,0.0817
217,800,0,0.35,0.0429,0,0,0,0.0999,0.5334,0.0072,0.0581,0.827,0.4985,0.1389,0,0
218,0,2.94,0.35,1,1,1,1,1,1,1,1,1,0.9857,1,0.9954,0.668
219,25,2.94,0.35,1,0.9334,1,1,1,1,0.9982,0.9822,1,0.9801,0.998,0.9675,0.6267
220,50,2.94,0.35,0.9545,0.9505,0.9962,0.995,0.9988,1,0.9989,0.9463,1,0.9742,1,0.8994,0.8498
221,100,2.94,0.35,0.7031,0.8461,0.6822,0.7764,0.8162,0.8536,1,0.8241,0.9972,0.9408,1,0.5289,0.7837
222,200,2.94,0.35,0.1111,0.571,0.0535,0.0947,0.2975,0.3298,0.9499,0.381,1,0.8387,0.9644,0.0663,0.7148
223,400,2.94,0.35,0.0206,0.0684,0,0,0.134,0.4778,0.3775,0.0958,0.9307,0.6801,0.7557,0,0.0973
224,800,2.94,0.35,0.0348,0,0,0,0.1049,0.5395,0.0243,0.0461,0.8523,0.5045,0.1243,0,0
225,0,5.88,0.35,0.7798,0.9777,1,1,1,1,1,1,0.9848,0.9646,0.9947,0.8219,0.7992
226,25,5.88,0.35,0.7809,0.954,0.9897,1,1,0.9986,0.9936,1,0.9813,0.9565,0.991,0.7907,0.8701
227,50,5.88,0.35,0.698,0.94,0.9554,1,1,0.9891,1,0.9852,0.9845,0.9434,1,0.7632,0.9326
228,100,5.88,0.35,0.506,0.6836,0.7478,0.8218,0.9059,0.8699,1,0.8127,0.9914,0.9322,1,0.583,0.8452
229,200,5.88,0.35,0.0769,0.294,0.077,0.1036,0.3365,0.3965,0.9998,0.3955,0.983,0.8338,0.9806,0.0719,0.6775
230,400,5.88,0.35,0.0249,0.0465,0,0,0.1457,0.458,0.6577,0.0851,0.8836,0.6696,0.7434,0,0.1113
231,800,5.88,0.35,0.0443,0,0,0,0.0998,0.5191,0.0758,0.0453,0.8186,0.4899,0.1272,0,0
232,0,11.75,0.35,0.3148,0.3644,0.8716,1,1,0.9576,0.9894,0.8948,0.987,0.7403,0.9897,0.3946,0.7845
233,25,11.75,0.35,0.3101,0.263,0.8112,1,1,0.974,0.9874,0.8537,0.9867,0.7595,0.9908,0.4135,0.7912
234,50,11.75,0.35,0.2952,0.2363,0.7631,1,1,0.9698,1,0.8461,0.9891,0.7625,1,0.4249,0.7638
235,100,11.75,0.35,0.2507,0.2416,0.4129,0.8656,0.8674,0.8683,1,0.7555,0.9839,0.7835,0.9984,0.3619,0.7336
236,200,11.75,0.35,0.087,0.1923,0.0067,0.2886,0.4869,0.3776,0.9465,0.3941,0.9737,0.7435,0.9645,0.0492,0.5476
237,400,11.75,0.35,0.089,0.0158,0,0,0.1745,0.4701,0.4128,0.0996,0.8832,0.6426,0.757,0,0.06
238,800,11.75,0.35,0.0874,0,0,0,0.1192,0.5136,0.0374,0.0454,0.8236,0.5026,0.1299,0,0
239,0,23.5,0.35,0.0491,0.0384,0.2933,0.7945,0.4193,0.5223,0.2957,0.2987,0.3416,0.3287,0.7125,0.4519,0.3785
240,25,23.5,0.35,0.0487,0.0189,0.2902,0.8311,0.4121,0.5191,0.293,0.2885,0.4363,0.3266,0.7363,0.4799,0.3478
241,50,23.5,0.35,0.0506,0.0021,0.2836,0.7128,0.4148,0.5715,0.2937,0.2957,0.5492,0.3344,0.7637,0.5163,0.3877
242,100,23.5,0.35,0.0346,0.0136,0.208,0.5896,0.3872,0.5273,0.3032,0.3008,0.5446,0.3546,0.8089,0.4899,0.3673
243,200,23.5,0.35,0.0009,0.0112,0.0065,0.2654,0.2867,0.3261,0.3049,0.2501,0.5065,0.3469,0.7514,0.2175,0.3002
244,400,23.5,0.35,0.0048,0.0072,0,0.0355,0.1686,0.3929,0.3053,0.0816,0.5836,0.3544,0.6428,0.1131,0.1182
245,800,23.5,0.35,0.0338,0,0,0,0.1093,0.4039,0.0501,0.0443,0.5302,0.2578,0.1256,0.0284,0.0796
246,0,47,0.35,0,0,0.2237,0.096,0.0188,0.002,0,0.0735,0.1129,0.1505,0.2857,0.4976,0.0709
247,25,47,0.35,0,0,0.1965,0.0919,0.0172,0,0,0.0694,0.1184,0.1376,0.2915,0.5113,0.0519
248,50,47,0.35,0,0,0.173,0.0563,0.0135,0,0,0.068,0.1254,0.1419,0.2991,0.5129,0.0611
249,100,47,0.35,0,0,0.0926,0.0378,0.0122,0,0,0.0813,0.1335,0.1516,0.3192,0.4539,0.0499
250,200,47,0.35,0,0,0.0254,0.0042,0.0033,0,0,0.07,0.14,0.1376,0.2998,0.3093,0.0363
251,400,47,0.35,0,0,0,0,0,0.0037,0,0.0382,0.1504,0.1318,0.267,0.2318,0
252,800,47,0.35,0,0,0,0,0,0.0021,0,0.0388,0.1045,0.0831,0.0759,0.1353,0
253,0,94,0.35,0,0,0,0,0,0,0,0,0.0686,0.0306,0.126,0.4315,0.0367
254,25,94,0.35,0,0,0,0,0,0,0,0,0.0652,0.0271,0.1163,0.435,0.0288
255,50,94,0.35,0,0,0,0,0,0,0,0,0.071,0.0288,0.1265,0.4395,0.0344
256,100,94,0.35,0,0,0,0,0,0,0,0,0.0781,0.0336,0.1285,0.386,0.0213
257,200,94,0.35,0,0,0,0,0,0,0,0.0041,0.0791,0.0364,0.1163,0.2935,0.0094
258,400,94,0.35,0,0,0,0,0,0,0,0.0003,0.0749,0.0397,0.0899,0.2316,0
259,800,94,0.35,0,0,0,0,0,0,0,0.0043,0.0433,0.0177,0.0385,0.1302,0
260,0,188,0.35,0,0,0,0,0,0,0,0,0.0652,0,0.0167,0.406,0.0225
261,25,188,0.35,0,0,0,0,0,0,0,0,0.0632,0,0.0148,0.4194,0.0223
262,50,188,0.35,0,0,0,0,0,0,0,0,0.0667,0,0.02,0.4194,0.0275
263,100,188,0.35,0,0,0,0,0,0,0,0,0.0702,0.0004,0.0241,0.3811,0.029
264,200,188,0.35,0,0,0,0,0,0,0,0,0.0717,0,0.0143,0.2825,0.0057
265,400,188,0.35,0,0,0,0,0,0,0,0,0.0738,0.0014,0.003,0.224,0
266,800,188,0.35,0,0,0,0,0,0,0,0,0.0458,0,0,0.126,0
267,0,376,0.35,0,0,0,0,0,0,0,0,0.0711,0,0,0.4027,0.0258
268,25,376,0.35,0,0,0,0,0,0,0,0,0.0684,0,0,0.408,0.0253
269,50,376,0.35,0,0,0,0,0,0,0,0,0.0754,0,0,0.4135,0.0331
270,100,376,0.35,0,0,0,0,0,0,0,0,0.0773,0,0,0.382,0.0245
271,200,376,0.35,0,0,0,0,0,0,0,0,0.0778,0,0,0.2756,0.0135
272,400,376,0.35,0,0,0,0,0,0,0,0,0.0756,0,0,0.2218,0
273,800,376,0.35,0,0,0,0,0,0,0,0,0.0488,0,0,0.1342,0
274,0,752,0.35,0.0121,0.0076,0.0094,0,0,0,0,0.0245,0.1133,0.0442,0.0417,0.4508,0.0992
275,25,752,0.35,0.0138,0.0057,0.0087,0,0.0002,0,0,0.0227,0.1152,0.0442,0.0438,0.4606,0.0975
276,50,752,0.35,0.0117,0.002,0.0066,0,0,0,0,0.0199,0.1233,0.0472,0.0437,0.4594,0.1067
277,100,752,0.35,0.0093,0,0.0052,0,0.0003,0,0,0.0226,0.1258,0.0481,0.0453,0.4296,0.106
278,200,752,0.35,0.0091,0.0013,0.0051,0,0.0013,0,0,0.0243,0.1311,0.0497,0.0383,0.3263,0.091
279,400,752,0.35,0.0119,0,0.0041,0,0.0028,0,0,0.0192,0.1216,0.0459,0.0261,0.2737,0.0558
280,800,752,0.35,0.0106,0,0,0,0.0007,0,0,0.0129,0.0843,0.0213,0.009,0.1688,0.0262
281,0,0,0.7,0.9974,0.7303,0.9786,0.9678,1,0.958,0.9319,0.7457,0.9035,0.8339,0.9315,0.9197,0.5898
282,25,0,0.7,0.9747,0.7343,0.9694,0.9478,1,0.9448,0.9576,0.7497,0.9146,0.818,0.8973,0.8818,0.6786
283,50,0,0.7,0.9133,0.6567,0.9056,0.8818,0.9745,0.8572,0.9771,0.7197,0.9066,0.8273,0.9146,0.7717,0.8187
284,100,0,0.7,0.5854,0.478,0.6461,0.6569,0.7146,0.4782,0.9812,0.5924,0.8674,0.7283,0.8531,0.433,0.7345
285,200,0,0.7,0.0666,0.2143,0.0571,0.2905,0.333,0.3339,0.8904,0.2766,0.8513,0.6026,0.6398,0.0537,0.4384
286,400,0,0.7,0.0193,0.0146,0,0.0221,0.1683,0.5133,0.2822,0.0988,0.9015,0.5608,0.239,0,0.0358
287,800,0,0.7,0.0344,0,0,0,0.0974,0.5266,0.0015,0.0619,0.8035,0.4341,0.0287,0,0
288,0,2.94,0.7,1,0.8245,1,0.9947,1,0.9927,0.9966,0.8058,0.9475,0.8809,0.9456,1,0.7442
289,25,2.94,0.7,0.9965,0.7777,0.989,0.9508,0.9877,0.9821,0.9994,0.7889,0.9479,0.8688,0.9392,0.9591,0.8508
290,50,2.94,0.7,0.9369,0.6995,0.9326,0.9091,0.9527,0.9067,1,0.7757,0.9281,0.8639,0.9499,0.8335,0.8915
291,100,2.94,0.7,0.6025,0.5446,0.7416,0.7198,0.6819,0.5829,1,0.6217,0.8433,0.7691,0.8917,0.4597,0.8507
292,200,2.94,0.7,0.0803,0.2479,0.0957,0.2439,0.2843,0.3952,0.9457,0.3007,0.8804,0.6462,0.6707,0.0599,0.4304
293,400,2.94,0.7,0.0207,0.0184,0,0.011,0.1748,0.5492,0.3295,0.0999,0.9415,0.5848,0.2105,0,0.0365
294,800,2.94,0.7,0.0428,0,0,0,0.1013,0.5671,0,0.0712,0.8767,0.4562,0.0267,0,0
295,0,5.88,0.7,0.8093,0.8614,0.9927,1,1,1,1,0.8058,0.9727,0.8696,0.9883,0.7946,0.7438
296,25,5.88,0.7,0.7759,0.8042,0.9683,1,1,0.9789,1,0.7925,0.9783,0.8604,0.9747,0.8341,0.8093
297,50,5.88,0.7,0.6576,0.7381,0.8801,0.941,1,0.8895,1,0.7303,0.9594,0.8575,0.956,0.7702,0.8447
298,100,5.88,0.7,0.5092,0.5518,0.7168,0.7318,0.8655,0.6019,1,0.6112,0.8894,0.8032,0.9341,0.4644,0.8881
299,200,5.88,0.7,0.0781,0.2419,0.0959,0.3116,0.3816,0.3921,0.9277,0.3152,0.9054,0.6425,0.6992,0.0524,0.4867
300,400,5.88,0.7,0.0222,0.0198,0,0.0118,0.1638,0.5498,0.2019,0.1142,0.9544,0.6154,0.2498,0,0.0346
301,800,5.88,0.7,0.0429,0,0,0,0.0954,0.5582,0,0.0657,0.8523,0.4775,0.0311,0,0
302,0,11.75,0.7,0.2985,0.5397,0.3957,0.9559,0.9186,0.8983,0.9964,0.6642,0.9723,0.5009,0.9583,0.4225,0.6891
303,25,11.75,0.7,0.2869,0.4746,0.4093,0.9337,0.9917,0.8705,0.9986,0.6793,0.9755,0.609,0.9439,0.4275,0.7455
304,50,11.75,0.7,0.2692,0.4237,0.4419,0.9012,0.987,0.8314,1,0.6705,0.9488,0.6267,0.9598,0.4326,0.7783
305,100,11.75,0.7,0.2245,0.3357,0.3973,0.7156,0.8104,0.6239,1,0.566,0.9048,0.6061,0.9195,0.3644,0.7745
306,200,11.75,0.7,0.0629,0.1805,0.0434,0.2218,0.3845,0.4212,0.9485,0.2931,0.8875,0.5626,0.7101,0.0482,0.5364
307,400,11.75,0.7,0.0574,0.0104,0,0,0.1456,0.5447,0.3089,0.1156,0.9496,0.5324,0.2295,0,0.0564
308,800,11.75,0.7,0.0576,0,0,0,0.1032,0.5709,0.0004,0.0732,0.8615,0.4034,0.0344,0,0
309,0,23.5,0.7,0.0086,0.0939,0.2415,0.2344,0.4359,0.2291,0.3803,0.3324,0.9008,0.2983,0.8419,0.4534,0.3279
310,25,23.5,0.7,0.0181,0.0815,0.242,0.2488,0.4277,0.2384,0.3589,0.3234,0.8985,0.3167,0.836,0.5105,0.3951
311,50,23.5,0.7,0.0154,0.0849,0.236,0.2251,0.4205,0.2664,0.3582,0.3035,0.8815,0.3356,0.858,0.4939,0.4461
312,100,23.5,0.7,0.0086,0.0812,0.2178,0.182,0.3901,0.2005,0.3673,0.3137,0.7889,0.3591,0.8325,0.5056,0.4308
313,200,23.5,0.7,0,0.0506,0.0967,0.0454,0.2944,0.2465,0.3729,0.2471,0.8413,0.3461,0.6326,0.1921,0.2482
314,400,23.5,0.7,0,0.0029,0.0024,0,0.1913,0.318,0.227,0.1165,0.9444,0.3354,0.1749,0.1099,0.1418
315,800,23.5,0.7,0.0078,0.0036,0,0,0.1068,0.3235,0.0151,0.0672,0.7843,0.2522,0.0215,0.0419,0.0577
316,0,47,0.7,0,0,0.0166,0,0.0442,0,0,0.0839,0.304,0.1133,0.391,0.5062,0.1051
317,25,47,0.7,0,0,0.0336,0,0.0567,0,0,0.0759,0.3439,0.1139,0.4056,0.5228,0.1028
318,50,47,0.7,0,0,0.0229,0,0.0581,0,0,0.075,0.3353,0.1201,0.4146,0.5146,0.1098
319,100,47,0.7,0,0,0.0026,0,0.0401,0,0,0.097,0.3302,0.1124,0.4133,0.4532,0.1053
320,200,47,0.7,0,0,0,0,0.0188,0,0,0.1082,0.3747,0.1173,0.3643,0.2937,0.0617
321,400,47,0.7,0,0,0,0,0.0039,0,0,0.0608,0.4757,0.1023,0.1587,0.2191,0.0037
322,800,47,0.7,0,0,0,0,0.0016,0,0,0.0601,0.4433,0.0571,0.0346,0.1343,0
323,0,94,0.7,0,0,0,0,0,0,0,0.0148,0.1075,0.0322,0.2005,0.4373,0.0476
324,25,94,0.7,0,0,0,0,0,0,0,0.0256,0.1095,0.0242,0.2074,0.4403,0.0487
325,50,94,0.7,0,0,0,0,0,0,0,0.0271,0.1183,0.0255,0.1935,0.4363,0.0487
326,100,94,0.7,0,0,0,0,0,0,0,0.0432,0.1295,0.0282,0.2041,0.3855,0.0555
327,200,94,0.7,0,0,0,0,0,0,0,0.038,0.1478,0.0333,0.175,0.2804,0.0287
328,400,94,0.7,0,0,0,0,0,0,0,0.0168,0.164,0.0179,0.0946,0.2128,0
329,800,94,0.7,0,0,0,0,0,0,0,0.0388,0.1094,0.0012,0.0419,0.1132,0
330,0,188,0.7,0,0,0,0,0,0,0,0,0.0789,0,0.0349,0.4081,0.0489
331,25,188,0.7,0,0,0,0,0,0,0,0.001,0.0768,0,0.0308,0.4086,0.0417
332,50,188,0.7,0,0,0,0,0,0,0,0.0054,0.0753,0,0.0316,0.3991,0.0426
333,100,188,0.7,0,0,0,0,0,0,0,0.0032,0.0763,0,0.0291,0.3632,0.0414
334,200,188,0.7,0,0,0,0,0,0,0,0.0106,0.0739,0.0003,0.0195,0.2632,0.0215
335,400,188,0.7,0,0,0,0,0,0,0,0.0003,0.0638,0,0.0014,0.2169,0
336,800,188,0.7,0,0,0,0,0,0,0,0.0278,0.0347,0,0.0011,0.1226,0
337,0,376,0.7,0,0,0,0,0,0,0,0.0003,0.0553,0,0,0.393,0.0504
338,25,376,0.7,0,0,0,0,0,0,0,0,0.0541,0,0,0.3932,0.0498
339,50,376,0.7,0,0,0,0,0,0,0,0,0.0512,0,0,0.3929,0.0455
340,100,376,0.7,0,0,0,0,0,0,0,0,0.0514,0,0,0.3529,0.0487
341,200,376,0.7,0,0,0,0,0,0,0,0.0009,0.046,0,0,0.2673,0.0345
342,400,376,0.7,0,0,0,0,0,0,0,0.0017,0.0351,0,0,0.2207,0
343,800,376,0.7,0,0,0,0,0,0,0,0.025,0.0067,0,0,0.1199,0
344,0,752,0.7,0,0,0,0,0,0,0,0,0.0532,0.0026,0,0.4049,0.074
345,25,752,0.7,0,0,0,0,0,0,0,0.0021,0.0435,0.0019,0,0.4021,0.0754
346,50,752,0.7,0,0,0,0,0,0,0,0.0006,0.0492,0.0024,1E-04,0.3969,0.0662
347,100,752,0.7,0,0,0,0,0,0,0,0.0017,0.0465,0.004,0,0.3612,0.0599
348,200,752,0.7,0,0,0,0,0,0,0,0.0121,0.0497,0.0035,0,0.2693,0.051
349,400,752,0.7,0,0,0,0,0,0,0,0.0018,0.0396,0.0025,0,0.2139,0.0083
350,800,752,0.7,0,0,0,0,0,0,0,0.0039,0.0146,0.0017,0,0.1197,0
351,0,0,1.4,0.8608,0.2224,0.942,0.608,1,0.5742,0.8145,0.3845,0.8762,0.6656,0.4286,0.9027,0.4585
352,25,0,1.4,0.7958,0.189,0.8669,0.5594,0.9565,0.4658,0.7821,0.3612,0.798,0.623,0.4029,0.8602,0.3588
353,50,0,1.4,0.624,0.1443,0.7937,0.4506,0.9873,0.2736,0.7761,0.3333,0.7693,0.6152,0.4271,0.7294,0.3553
354,100,0,1.4,0.2729,0.0625,0.514,0.1821,0.7567,0.0862,0.7397,0.26,0.6551,0.5743,0.3998,0.3971,0.3632
355,200,0,1.4,0.0398,0.0023,0.0431,0,0.3328,0.3048,0.588,0.133,0.7342,0.5647,0.2776,0.0483,0.0603
356,400,0,1.4,0.0452,0,0,0,0.1858,0.479,0.1833,0.1246,0.9098,0.5282,0.0615,0,0
357,800,0,1.4,0.0739,0,0,0,0.1277,0.5128,0,0.1045,0.7941,0.3746,0.0168,0,0
358,0,2.94,1.4,0.8644,0.2263,0.9315,0.6176,1,0.551,0.8151,0.3732,0.8977,0.659,0.4422,0.9149,0.3511
359,25,2.94,1.4,0.7969,0.1767,0.8845,0.5836,1,0.4444,0.7889,0.3623,0.8047,0.6246,0.4227,0.8365,0.3198
360,50,2.94,1.4,0.6354,0.1372,0.7898,0.5035,0.9993,0.2466,0.8032,0.3183,0.765,0.5987,0.4245,0.7238,0.4377
361,100,2.94,1.4,0.2767,0.0648,0.5272,0.2727,0.8424,0.0662,0.7678,0.2681,0.6595,0.5851,0.4168,0.3908,0.2975
362,200,2.94,1.4,0.037,0,0.042,0.0063,0.3842,0.2622,0.5788,0.1174,0.757,0.5318,0.2757,0.0415,0.0455
363,400,2.94,1.4,0.0366,0,0,0,0.1827,0.4899,0.1511,0.1139,0.9323,0.4954,0.0389,0,0
364,800,2.94,1.4,0.0668,0,0,0,0.1286,0.5055,0,0.0927,0.8135,0.3752,0.0009,0,0
365,0,5.88,1.4,0.589,0.2205,0.8532,0.5465,1,0.5674,0.8213,0.3553,0.8906,0.6217,0.4188,0.7871,0.433
